ï»¿ASC_Name;Provider_id;NPI;City;State;Zip_Code;Year;ASC_1_Measure_Rate;ASC_1_Footnote;ASC_2_Measure_Rate;ASC_2_Footnote;ASC_3_Measure_Rate;ASC_3_Footnote;ASC_4_Measure_Rate;ASC_4_Footnote;ASC_5_Measure_Rate;ASC_5_Footnote;ASC_1_5_Encounter_Start_Date;ASC_1_5_Encounter_End_Date;ASC_6_SSChecklist;ASC_6_Footnote;ASC_7_Volume;ASC_7_Respiratory;ASC_7_Eye;ASC_7_Genitourinary;ASC_7_Musculoskeletal;ASC_7_Gastrointestinal;ASC_7_Nervous_System;ASC_7_Skin;ASC_7_Footnote;ASC_6_7_Encounter_Start_Date;ASC_6_7_Encounter_End_Date;ASC_8_rate;ASC_8_Footnote;ASC_8_Encounter_Date;ASC_9_rate;ASC_9_Footnote;ASC_10_rate;ASC_10_Footnote;ASC_9_10_Encounter_Start_Date;ASC_9_10_Encounter_End_Date;ASC_11_rate;ASC_11_Footnote;ASC_11_Encounter_Start_Date;ASC_11_Encounter_End_Date;ASC_12_Total_Cases;ASC_12_Performance_Category;ASC_12_Interval_Lower_Limit;ASC_12_Interval_Upper_Limit;ASC_12_Footnote;ASC_12_Encounter_Start_Date;ASC_12_Encounter_End_Date;ASC_12_RSHV_Rate
Summit View Surgery Center, L.L.C.;06C0001079;1952376725;Littleton;CO;80122;2016;N/A;5;N/A;5;N/A;5;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;94.52;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Austin Eye Laser & Surgicenter;45C0001271;1952398141;Austin;TX;78759;2016;0.000;;0.000;;0.000;;0.000;;N/A;5;01/01/16;12/31/2016;Yes;;2,548;0;2,548;0;0;0;0;0;;01/01/16;12/31/2016;27.45;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;99.69;;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Outpatient Plastic Surgery Center;10C0001311;1952404550;Palm Springs;FL;33461;2016;1.873;;1.873;;0.000;;0.000;;866.67;;01/01/16;12/31/2016;Yes;;3,061;5;4;0;0;0;0;3,052;;01/01/16;12/31/2016;60.71;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
South Georgia Surgery Center;11C0001252;1952412413;Waycross;GA;31501;2016;0.000;;0.000;;0.000;;0.000;;1,000.00;1;01/01/16;12/31/2016;Yes;;1,06;0;0;0;1,06;0;0;0;;01/01/16;12/31/2016;N/A;1;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Mission Valley Surgery Center;05C0001190;1952432122;Fremont;CA;94539;2016;0.000;;0.000;;0.000;;0.000;;N/A;5;01/01/16;12/31/2016;Yes;;810;0;810;0;0;0;0;0;;01/01/16;12/31/2016;63.64;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Edwardsville Ambulatory Surgery Center, LLC;14C0001024;1952464844;Glen Carbon;IL;62034;2016;0.000;;0.000;;0.000;;0.000;;985.29;;01/01/16;12/31/2016;Yes;;1,797;54;593;0;320;355;402;73;;01/01/16;12/31/2016;79.10;;2016/2017;52.17;;100.00;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;Number of Cases Too Small;N/A;N/A;1;01/01/16;12/31/2016;N/A
El Camino Surgery Center;05C0001212;1952466716;Mountain View;CA;94040;2016;N/A;5;N/A;5;N/A;5;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;97.13;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Atlanticare Surgery Center Ocean County;31C0001223;1952478885;Little Egg Harbor;NJ;8087;2016;0.000;;1.467;;0.000;;0.000;;1,000.00;;01/01/16;12/31/2016;Yes;;2,457;0;967;187;261;0;1,031;11;;01/01/16;12/31/2016;86.76;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
The Raleigh Nc Endoscopy ASC, LLC Cary;34C0001145;1952518029;Cary;NC;27511;2016;0.000;;0.000;;0.000;;1.643;;N/A;5;01/01/16;12/31/2016;Yes;;8,823;0;0;0;0;8,823;0;0;;01/01/16;12/31/2016;82.83;;2016/2017;100.00;;100.00;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;754;No Different than the National Rate;8.5;15.9;;01/01/16;12/31/2016;11.6
Plateau Surgery Center, LLC;44C0001171;1952535502;Crossville;TN;38558;2016;0.000;;0.000;;0.000;;0.000;;N/A;5;01/01/16;12/31/2016;Yes;;1;0;1;0;0;0;0;0;;01/01/16;12/31/2016;75.00;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Rome Orthopaedic Clinic ASC, Inc.;11C0001399;1952540825;Rome;GA;30161;2016;0.000;;0.000;;0.000;;0.000;;1,000.00;;01/01/16;12/31/2016;Yes;;61;0;0;0;58;0;3;0;;01/01/16;12/31/2016;80.77;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Msc Ambulatory Surgical Center;21C0001489;1952561771;Bethesda;MD;20817;2016;N/A;5;N/A;5;N/A;5;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;83.33;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Cornerstone Ambulatory Surgery Center;39C0001269;1952571028;Langhorne;PA;19047;2016;0.000;;0.000;;0.000;;0.000;;909.09;;01/01/16;12/31/2016;Yes;;2,62;0;0;0;0;0;2,62;0;;01/01/16;12/31/2016;58.82;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Gastroenterology & Hepatology Consultants, PA;34C0001176;1952602609;Wake Forest;NC;27587;2016;N/A;5;N/A;5;N/A;5;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;89.66;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
The Center for Outpatient Surgery;31C0001276;1952610768;Tinton Falls;NJ;7701;2016;0.000;;0.000;;0.000;;0.000;;1,000.00;;01/01/16;12/31/2016;N/A;5;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;81.36;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Fellowship Surgical Center, LLC;31C0001220;1952623936;Mount Laurel;NJ;8054;2016;0.000;;0.000;;0.000;;0.000;;N/A;5;01/01/16;12/31/2016;Yes;;1,723;0;0;0;56;0;1,667;0;;01/01/16;12/31/2016;77.19;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Kissing Camels Surgery Center, LLC;06C0001130;1952630931;Colorado Springs;CO;80904;2016;0.000;;0.000;;0.000;;1.155;;898.95;;01/01/16;12/31/2016;Yes;;4,303;94;533;0;1,094;0;2,582;0;;01/01/16;12/31/2016;94.12;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Confluence Health Omak ASC;50C0001141;1952648966;Omak;WA;98841;2016;0.000;;0.000;;0.000;;0.000;;N/A;5;01/01/16;12/31/2016;Yes;;720;0;0;10;0;710;0;0;;01/01/16;12/31/2016;100.00;;2016/2017;N/A;5;95.65;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;197;No Different than the National Rate;8.8;16.9;;01/01/16;12/31/2016;12.3
Executive Surgery Center;05C0002008;1952698078;Danville;CA;94526;2016;0.000;;0.000;;0.000;;0.000;;N/A;5;01/01/16;12/31/2016;Yes;;3,6;0;0;0;0;3,6;0;0;;01/01/16;12/31/2016;100.00;;2016/2017;70.00;;25.00;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;459;No Different than the National Rate;9.7;18.2;;01/01/16;12/31/2016;13.3
Plessen Eye, LLC;48C0001000;1952712382;Christiansted;VI;820;2016;1.754;;0.000;;0.000;;0.000;;0.00;1;01/01/16;12/31/2016;Yes;;1,164;0;1,164;0;0;0;0;0;;01/01/16;12/31/2016;18.75;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Bountiful Surgery Center, LLC;46C0001020;1952720674;Salt Lake City;UT;84121;2016;0.000;;0.000;;0.000;;0.000;;0.00;;01/01/16;12/31/2016;Yes;;2,6;0;0;0;0;2,6;0;0;;01/01/16;12/31/2016;100.00;;2016/2017;97.67;;98.96;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;245;No Different than the National Rate;10.1;19.3;;01/01/16;12/31/2016;13.8
CPMSC Canton, LLC;11C0001425;1952737207;Canton;GA;30114;2016;0.000;;0.000;;0.000;;0.000;;1,000.00;;01/01/16;12/31/2016;Yes;;3,508;0;0;0;0;0;3,508;0;;01/01/16;12/31/2016;100.00;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Novant Health Haymarket ASC;49C0001062;1952749491;Winston-Salem;NC;27103;2016;0.000;;0.000;;0.000;;2.685;;946.34;;01/01/16;12/31/2016;Yes;;1,248;14;700;4;316;138;60;16;;01/01/16;12/31/2016;88.06;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Georgia Urology PA;11C0001447;1952771230;Alpharetta;GA;30005;2016;1.364;;0.000;;0.000;;0.000;;N/A;5;01/01/16;12/31/2016;N/A;5;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A;5;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
GEORGIA UROLOGY, PA;;1952771230;MCDONOUGH;GA;30253;2016;1.364;;0.000;;0.000;;0.000;;N/A;5;01/01/16;12/31/2016;N/A;5;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A;5;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Silicon Valley Interventional CTR;05C0002101;1952794109;Mountain View;CA;94040;2016;0.000;;0.000;;0.000;;0.000;;962.41;;01/01/16;12/31/2016;Yes;;0;0;0;0;0;0;0;0;;01/01/16;12/31/2016;57.14;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Columbus Eye Surgery Center;36C0001064;1962400044;Columbus;OH;43213;2016;0.000;;0.000;;0.000;;0.000;;N/A;5;01/01/16;12/31/2016;Yes;;5,069;0;4,899;0;0;0;0;170;;01/01/16;12/31/2016;61.11;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
North Kitsap Ambulatory Surgery Center;50C0001013;1962402503;Poulsbo;WA;98370;2016;0.000;;0.000;;0.000;;0.000;;970.00;;01/01/16;12/31/2016;Yes;;4,687;360;2,97;14;139;321;787;96;;01/01/16;12/31/2016;72.34;;2016/2017;77.36;;88.49;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;130;No Different than the National Rate;9.4;18.9;;01/01/16;12/31/2016;13.3
Mid Rivers Surgery Center;26C0001080;1962405803;St. Peters;MO;63376;2016;0.000;;0.000;;0.000;;0.000;;1,000.00;;01/01/16;12/31/2016;Yes;;2,114;45;1;0;1,581;261;157;69;;01/01/16;12/31/2016;98.44;;2016/2017;93.33;;N/A;1;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;Number of Cases Too Small;N/A;N/A;1;01/01/16;12/31/2016;N/A
Harford Podiatric Surgery Center;21C0001242;1962407726;Perry Hall;MD;21128;2016;0.000;;0.000;;0.000;;0.000;;1,000.00;1;01/01/16;12/31/2016;N/A;5;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A;5;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Shawnee Mission Surgery Center;17C0001054;1962431197;Shawnee Mission;KS;66204;2016;0.543;;0.000;;0.000;;0.544;;995.58;;01/01/16;12/31/2016;Yes;;4,875;658;1,656;590;797;108;180;886;;01/01/16;12/31/2016;86.55;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Northern Monmouth Regional Surgery Center;31C0001199;1962435990;Manalapan;NJ;7726;2016;0.000;;0.000;;0.000;;0.000;;1,000.00;;01/01/16;12/31/2016;Yes;;1,58;0;0;0;977;36;530;37;;01/01/16;12/31/2016;83.93;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
CPGI Endoscopy Center LLC;39C0001222;1962436337;Lewisburg;PA;17837;2016;0.000;;0.000;;0.000;;0.000;;1,000.00;1;01/01/16;12/31/2016;Yes;;2,027;0;0;0;0;2,027;0;0;;01/01/16;12/31/2016;94.44;;2016/2017;65.08;;77.14;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;748;No Different than the National Rate;8.8;16.4;;01/01/16;12/31/2016;12.1
The Surgery Center of Athens, LLC.;44C0001115;1962453175;Athens;TN;37303;2016;N/A;5;N/A;5;N/A;5;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;55.56;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Valley Eye Institute ASC;36C0001179;1962455428;Sidney;OH;45365;2016;0.000;;0.000;;0.000;;0.000;;N/A;5;01/01/16;12/31/2016;Yes;;2,459;0;2,459;0;0;0;0;0;;01/01/16;12/31/2016;100.00;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Cypress Surgery Center;17C0001050;1962455964;Wichita;KS;67226;2016;0.000;;0.000;;0.000;;0.441;;991.80;;01/01/16;12/31/2016;Yes;;3,673;787;791;456;615;588;157;279;;01/01/16;12/31/2016;82.42;;2016/2017;75.22;;87.84;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;108;No Different than the National Rate;8.8;17.8;;01/01/16;12/31/2016;12.4
Central Texas Day Surgery Center;45C0001036;1962459610;Killeen;TX;76542;2016;0.000;;0.000;;0.000;;0.000;;1,000.00;1;01/01/16;12/31/2016;Yes;;8,267;0;0;0;0;0;8,267;0;;01/01/16;12/31/2016;68.00;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Surgical Centers of Michigan LLC;23C0001043;1962463133;Troy;MI;48098;2016;0.000;;0.000;;0.000;;0.000;;N/A;5;01/01/16;12/31/2016;Yes;;13,486;0;0;0;0;13,486;0;0;;01/01/16;12/31/2016;100.00;;2016/2017;97.09;;96.67;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;935;No Different than the National Rate;8.0;14.6;;01/01/16;12/31/2016;10.8
Central Utah Surgical Center;46C0001015;1962463950;Provo;UT;84604;2016;0.000;;0.000;;0.000;;0.288;;997.85;;01/01/16;12/31/2016;Yes;;6,234;166;2,168;91;1,482;1,545;479;303;;01/01/16;12/31/2016;99.60;;2016/2017;96.83;;98.41;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;505;No Different than the National Rate;8.7;16.3;;01/01/16;12/31/2016;11.8
Gulf Coast Endoscopy Center of Venice;10C0001345;1962466847;Venice;FL;34285;2016;0.000;;0.282;;0.000;;0.282;;1,000.00;1;01/01/16;12/31/2016;Yes;;9,329;0;677;0;0;8,652;0;0;;01/01/16;12/31/2016;60.53;;2016/2017;71.00;;83.00;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;1546;No Different than the National Rate;9.2;15.8;;01/01/16;12/31/2016;12.1
Gadsden Surgery Center;01C0001011;1962467951;Gadsden;AL;35901;2016;0.000;;0.000;;0.000;;0.000;;993.12;;01/01/16;12/31/2016;Yes;;3,546;70;546;3;1,192;1,5;195;40;;01/01/16;12/31/2016;77.06;;2016/2017;78.38;;45.45;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;112;No Different than the National Rate;9.0;17.7;;01/01/16;12/31/2016;12.6
Northern Rockies Surgery Center;27C0001001;1962469544;Billings;MT;59101;2016;0.000;;0.000;;0.000;;1.439;;1,000.00;;01/01/16;12/31/2016;Yes;;1,31;0;995;51;240;0;0;24;;01/01/16;12/31/2016;79.10;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Centro De Cirugia Ambulatorio Laser Medico, Inc.;40C0001016;1962472845;Bayamon;PR;959;2016;0.000;;0.000;;0.000;;0.000;;N/A;5;01/01/16;12/31/2016;N/A;5;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A;5;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Sterling Surgical Center;53C0001005;1962477539;Casper;WY;82601;2016;0.000;;0.000;;0.000;;0.817;;N/A;5;01/01/16;12/31/2016;Yes;;4,917;0;0;0;0;4,917;0;0;;01/01/16;12/31/2016;96.30;;2016/2017;94.79;;100.00;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;594;No Different than the National Rate;8.6;16.1;;01/01/16;12/31/2016;11.9
Lansing Surgery Center;23C0001027;1962479014;Lansing;MI;48912;2016;N/A;5;N/A;5;N/A;5;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;80.58;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Mayo Clinic Jacksonville - ASC;10C0001160;1962499079;Jacksonville;FL;32224;2016;0.000;;0.000;;0.000;;0.000;;N/A;5;01/01/16;12/31/2016;Yes;;8,492;0;0;0;0;8,492;0;0;;01/01/16;12/31/2016;68.75;;2016/2017;70.79;;18.05;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;1298;No Different than the National Rate;12.1;20.7;;01/01/16;12/31/2016;15.7
Bolsa Outpatient Surgery Center;05C0001389;1962500454;Westminster;CA;92683;2016;0.000;;0.000;;0.000;;0.000;;1,000.00;1;01/01/16;12/31/2016;Yes;;2,056;0;516;6;29;1,449;0;56;;01/01/16;12/31/2016;73.33;;2016/2017;66.14;;95.54;;01/01/16;12/31/2016;90.16;;01/01/16;12/31/2016;56;No Different than the National Rate;8.8;17.3;;01/01/16;12/31/2016;12.3
Highland Park Plastic Surgery Center;45C0001210;1962504803;Dallas;TX;75225;2016;0.000;1;0.000;1;0.000;1;0.000;1;N/A;5;01/01/16;12/31/2016;N/A;5;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A;5;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
The Polyclinic;50C0001040;1962506618;Seattle;WA;98122;2016;0.000;;0.526;;0.000;;0.000;;1,000.00;;01/01/16;12/31/2016;Yes;;13,667;557;412;157;523;11,866;56;96;;01/01/16;12/31/2016;100.00;;2016/2017;93.97;;81.05;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;921;No Different than the National Rate;10.9;19.9;;01/01/16;12/31/2016;14.6
Surgery Center of Decatur, LP;01C0001043;1962513788;Decatur;AL;35601;2016;0.000;;0.000;;0.000;;0.000;;1,000.00;;01/01/16;12/31/2016;Yes;;5,772;97;1,058;102;832;3,169;486;28;;01/01/16;12/31/2016;78.00;;2016/2017;87.64;;46.88;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;450;No Different than the National Rate;8.9;17.0;;01/01/16;12/31/2016;12.4
Piedmont Surgery Center;11C0001038;1962531988;Macon;GA;31210;2016;0.000;;0.000;;0.000;;0.000;;1,000.00;;01/01/16;12/31/2016;Yes;;936;0;0;0;542;0;394;0;;01/01/16;12/31/2016;25.00;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
First Surgical Woodlands;45C0001411;1962538959;Spring;TX;77386;2016;0.000;;0.000;;0.000;;0.000;;N/A;5;01/01/16;12/31/2016;Yes;;1,148;0;0;0;3;0;1,145;0;;01/01/16;12/31/2016;76.00;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Lassen Surgery Center;05C0001127;1962543710;Susanville;CA;96130;2016;0.000;;0.000;;0.000;;0.000;;1,000.00;;01/01/16;12/31/2016;N/A;5;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A;5;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;Number of Cases Too Small;N/A;N/A;1;01/01/16;12/31/2016;N/A
Griffin Rd Campus of LSDC, LLC;10C0001432;1962552232;Lakeland;FL;33805;2016;0.000;;0.000;;0.000;;0.000;;995.92;;01/01/16;12/31/2016;Yes;;3,798;0;3,025;37;4;0;697;35;;01/01/16;12/31/2016;86.67;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Affiliated Ambulatory Surgery;31C0001044;1962557124;Morristown;NJ;7950;2016;0.000;;0.000;;0.000;;0.000;;N/A;5;01/01/16;12/31/2016;Yes;;2,901;0;0;0;0;0;0;2,901;;01/01/16;12/31/2016;76.92;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Drexel Center for Digestive Health;39C0001167;1962565242;Philadelphia;PA;19107;2016;0.000;;0.000;;0.000;;0.000;;0.00;1;01/01/16;12/31/2016;N/A;5;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A;1;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;61;No Different than the National Rate;8.5;17.5;;01/01/16;12/31/2016;12.3
Endoscopy Center of Ocean County;31C0001082;1962568543;Toms River;NJ;8755;2016;0.000;;0.000;;0.000;;0.000;;1,000.00;1;01/01/16;12/31/2016;Yes;;3,7;0;0;0;0;3,7;0;0;;01/01/16;12/31/2016;87.23;;2016/2017;89.26;;89.67;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;718;No Different than the National Rate;8.5;15.5;;01/01/16;12/31/2016;11.5
Novamed Surgery Center of Warrensburg;26C0001044;1962580266;Warrensburg;MO;64093;2016;0.000;;0.000;;0.000;;0.000;;N/A;5;01/01/16;12/31/2016;Yes;;2,017;0;1,83;0;0;0;0;187;;01/01/16;12/31/2016;61.11;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
The Eye Surgery Center of Oak Ridge, LLC;44C0001065;1962588160;Oak Ridge;TN;37830;2016;0.000;;0.730;;0.000;;0.729;;N/A;5;01/01/16;12/31/2016;Yes;;3,547;0;3,547;0;0;0;0;0;;01/01/16;12/31/2016;96.72;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Ultimate Health Services Inc.;51C0001015;1962605451;Huntington;WV;25705;2016;0.000;;0.000;;0.000;;0.000;;N/A;5;01/01/16;12/31/2016;Yes;;4,947;0;0;0;0;4,947;0;0;;01/01/16;12/31/2016;72.41;;2016/2017;97.00;;100.00;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;626;No Different than the National Rate;10.1;18.4;;01/01/16;12/31/2016;13.6
Frontrange Endoscopy CTR;06C0001119;1962609560;Colorado Spring;CO;80903;2016;1.504;;1.504;;0.000;;1.502;;1,000.00;1;01/01/16;12/31/2016;Yes;;5,668;0;0;0;0;5,668;0;0;;01/01/16;12/31/2016;90.91;;2016/2017;80.38;;63.18;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;310;No Different than the National Rate;11.0;20.8;;01/01/16;12/31/2016;15.0
Tlc Tricities Laser Center Inc;44C0001068;1962617126;Johnson City;TN;37604;2016;N/A;5;N/A;5;N/A;5;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A;1;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
